,artist_id,debut_date,artist_type,artist_gender,artist_nationality
611,875152,,,,
612,174009,,,,
613,837027,,,,
614,615471,,,,
615,925018,,,,
616,1738,,,,
617,186813,,,,
618,247582,,,,
619,2400004,,,,
620,181678,,,,
621,223392,,,,
622,5973,,,,
623,658091,,,,
624,11245,,,,
625,101491,,,,
626,39088,,,,
627,50775,,,,
628,449941,,,,
629,693951,,,,
630,204069,,,,
631,2924,,,,
632,944650,,,,
633,252387,,,,
634,542340,,,,
635,575911,,,,
636,6993,,,,
637,227228,,,,
638,672560,,,,
639,35682,,,,
640,757273,,,,
641,36366,,,,
642,421442,,,,
643,220449,,,,
644,695332,,,,
645,597191,,,,
646,1136,,,,
647,4065,,,,
648,161975,,,,
649,729407,,,,
650,674719,,,,
651,222109,,,,
652,2071,,,,
653,14358,,,,
654,669972,,,,
655,2754193,,,,
656,1820,,,,
657,945663,,,,
658,206412,,,,
659,6468,,,,
660,1121,,,,
661,495401,,,,
662,2558936,,,,
663,482640,,,,
664,100052,,,,
665,43292,,,,
666,103491,,,,
667,4263,,,,
668,434621,,,,
669,61280,,,,
670,100101,,,,
671,177519,,,,
672,2138586,,,,
673,725989,,,,
674,739740,,,,
675,222127,,,,
676,8095,,,,
677,2878372,,,,
678,541500,,,,
679,171116,,,,
680,100195,,,,
681,2111694,,,,
682,51146,,,,
683,2086543,,,,
684,720018,,,,
685,230591,,,,
686,492173,,,,
687,620773,,,,
