,song_name,song_id,artist_name,artist_id,alb_name,alb_id,song_likes,debut_date,artist_type,artist_gender,artist_nationality
1122,안아보자,7924015.0,포맨 (4MEN),100176.0,4MEN 1st Live Album,2649785.0,51828,1998,그룹,남성,대한민국
1123,눈 떠보니 이별이더라,30690674.0,포맨 (4MEN),100176.0,REMEMBER ME,10105438.0,115903,1998,그룹,남성,대한민국
1124,그 남자 그 여자,3590149.0,포맨 (4MEN),100176.0,그 남자 그 여자,2025499.0,26209,1998,그룹,남성,대한민국
1125,넌 나의 집,5717521.0,포맨 (4MEN),100176.0,넌 나의 집 (Made in THE VIBE),2321284.0,20309,1998,그룹,남성,대한민국
1126,내 여친,3429522.0,포맨 (4MEN),100176.0,The Artist,1294153.0,20948,1998,그룹,남성,대한민국
1127,너 하나면 돼,2011148.0,포맨 (4MEN),100176.0,가문의 영광 OST,457251.0,1898,1998,그룹,남성,대한민국
1128,그때 헤어지면 돼,30884950.0,로이킴,699632.0,그때 헤어지면 돼,10137574.0,218955,2012,솔로,남성,대한민국
1129,우리 그만하자,31314142.0,로이킴,699632.0,우리 그만하자,10205438.0,133911,2012,솔로,남성,대한민국
1130,북두칠성,7963607.0,로이킴,699632.0,북두칠성,2654724.0,76879,2012,솔로,남성,대한민국
1131,문득,30414362.0,로이킴,699632.0,開花期 (개화기),10062412.0,38761,2012,솔로,남성,대한민국
1132,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",32061975.0,AKMU (악뮤),712452.0,항해,10331947.0,387487,2010,그룹,혼성,대한민국
1133,오랜 날 오랜 밤,30181278.0,AKMU (악뮤),712452.0,사춘기 하 (思春記 下),10027786.0,222204,2010,그룹,혼성,대한민국
1134,낙하 (with 아이유),33725775.0,AKMU (악뮤),712452.0,NEXT EPISODE,10661658.0,175313,2010,그룹,혼성,대한민국
1135,키 큰 노총각 이야기,3669413.0,정준하,229115.0,무한도전 나름 가수다,2060806.0,21908,2007,솔로,남성,대한민국
1136,바람아 멈추어 다오,1497480.0,러브홀릭,106718.0,Re Wind,332405.0,5911,2003,그룹,혼성,대한민국
1137,차라의 숲,1143063.0,러브홀릭,106718.0,Nice Dream,316457.0,4130,2003,그룹,혼성,대한민국
